device,useragent
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0_3; like Mac OS X) AppleWebKit/601.45 (KHTML, like Gecko)  Chrome/48.0.2603.352 Mobile Safari/603.7"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_5_9; like Mac OS X) AppleWebKit/535.8 (KHTML, like Gecko)  Chrome/50.0.3210.229 Mobile Safari/600.3"
android,"Mozilla/5.0 (Linux; Android 4.4.1; LG-V700 Build/KOT49I) AppleWebKit/534.35 (KHTML, like Gecko)  Chrome/53.0.1984.267 Mobile Safari/602.5"
chrome,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/600.34 (KHTML, like Gecko) Chrome/48.0.3309.357 Safari/600"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64; en-US) Gecko/20100101 Firefox/48.5
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/45.1
android,"Mozilla/5.0 (Android; Android 5.0.2; Nokia 1100 LTE Build/GRK39F) AppleWebKit/600.32 (KHTML, like Gecko)  Chrome/51.0.3673.285 Mobile Safari/603.6"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/50.0.3452.227 Safari/536.5 Edge/15.71793"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/69.0
android,"Mozilla/5.0 (Linux; U; Android 5.0.1; Nokia 1100 wifi Build/GRK39F) AppleWebKit/535.8 (KHTML, like Gecko)  Chrome/52.0.2892.195 Mobile Safari/602.9"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.0; x64) Gecko/20100101 Firefox/62.5
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; Win64; x64) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/48.0.1490.172 Safari/537.6 Edge/18.96555"
edge,"Mozilla/5.0 (Windows NT 10.5; Win64; x64; en-US) AppleWebKit/537.34 (KHTML, like Gecko) Chrome/54.0.3124.273 Safari/536.7 Edge/11.45888"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_0_6) Gecko/20100101 Firefox/68.9
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64; en-US) AppleWebKit/602.25 (KHTML, like Gecko) Chrome/48.0.2397.210 Safari/601.3 Edge/13.96452"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; WOW64 Trident/4.0)
windows,"Mozilla/5.0 (Windows NT 6.3; WOW64; en-US) AppleWebKit/536.47 (KHTML, like Gecko) Chrome/55.0.3435.314 Safari/603.4 Edge/13.79446"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.4; x64 Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_9) Gecko/20130401 Firefox/67.1
edge,"Mozilla/5.0 (Windows NT 10.4;; en-US) AppleWebKit/603.42 (KHTML, like Gecko) Chrome/53.0.1322.282 Safari/600.5 Edge/8.79835"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_8; like Mac OS X) AppleWebKit/602.25 (KHTML, like Gecko)  Chrome/51.0.2545.239 Mobile Safari/535.9"
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/533.11 (KHTML, like Gecko) Chrome/54.0.3017.378 Safari/601"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/64.0
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_5; like Mac OS X) AppleWebKit/535.3 (KHTML, like Gecko)  Chrome/49.0.1509.369 Mobile Safari/533.5"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/600.30 (KHTML, like Gecko) Chrome/54.0.3877.369 Safari/603"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/536.45 (KHTML, like Gecko) Chrome/55.0.3725.260 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3; like Mac OS X) AppleWebKit/600.48 (KHTML, like Gecko)  Chrome/49.0.3466.298 Mobile Safari/601.8"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4;; en-US) AppleWebKit/603.40 (KHTML, like Gecko) Chrome/47.0.3022.234 Safari/603.5 Edge/13.27862"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 10.5; Win64; x64 Trident/4.0)
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/49.0.1335.273 Safari/535"
linux,Mozilla/5.0 (Linux; Linux i541 ) Gecko/20100101 Firefox/58.6
firefox,Mozilla/5.0 (Windows NT 10.3; x64; en-US) Gecko/20130401 Firefox/47.6
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;; en-US) AppleWebKit/536.28 (KHTML, like Gecko) Chrome/55.0.2379.346 Safari/533.1 Edge/13.96360"
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/603.13 (KHTML, like Gecko) Chrome/49.0.2189.151 Safari/533"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_1_7; en-US) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/47.0.3806.256 Safari/533"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_3_9; en-US) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/54.0.2402.303 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.3; x64; en-US Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_2; like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko)  Chrome/54.0.1794.279 Mobile Safari/600.8"
android,"Mozilla/5.0 (Android; Android 6.0; Nexus 7X Build/MMB29V) AppleWebKit/537.32 (KHTML, like Gecko)  Chrome/52.0.2541.263 Mobile Safari/534.1"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/47.0.2764.352 Safari/537"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) AppleWebKit/534.22 (KHTML, like Gecko) Chrome/47.0.1814.318 Safari/603.8 Edge/12.61592"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5; en-US) Gecko/20130401 Firefox/62.1
mobile,"Mozilla/5.0 (Linux; U; Android 5.1.1; Nexus 8 Build/LRX22C) AppleWebKit/602.31 (KHTML, like Gecko)  Chrome/49.0.2536.276 Mobile Safari/535.4"
windows,"Mozilla/5.0 (Windows; Windows NT 6.1; WOW64; en-US) AppleWebKit/603.25 (KHTML, like Gecko) Chrome/55.0.1385.334 Safari/533"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_0_8 like Mac OS X) AppleWebKit/535.6 (KHTML, like Gecko)  Chrome/51.0.1797.306 Mobile Safari/601.6"
mobile,"Mozilla/5.0 (Linux; Android 5.1; SM-G928H Build/LMY47X) AppleWebKit/600.47 (KHTML, like Gecko)  Chrome/52.0.1210.191 Mobile Safari/603.7"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_3) AppleWebKit/601.2 (KHTML, like Gecko) Chrome/51.0.1938.338 Safari/601"
edge,"Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/534.36 (KHTML, like Gecko) Chrome/54.0.2000.177 Safari/533.2 Edge/11.17971"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.2; x64) Gecko/20100101 Firefox/73.3
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_1; like Mac OS X) AppleWebKit/537.44 (KHTML, like Gecko)  Chrome/53.0.3834.344 Mobile Safari/533.6"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4;; en-US) AppleWebKit/537.6 (KHTML, like Gecko) Chrome/49.0.3135.148 Safari/600.4 Edge/11.73411"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4; Nexus_S_Build/GRJ22) AppleWebKit/600.25 (KHTML, like Gecko)  Chrome/52.0.3049.262 Mobile Safari/534.1"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/601.5 (KHTML, like Gecko) Chrome/55.0.3424.287 Safari/600.5 Edge/14.74225"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; x64; en-US Trident/4.0)
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0; Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; WOW64 Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_1_3) Gecko/20100101 Firefox/74.8
firefox,Mozilla/5.0 (Linux; Linux i643 ; en-US) Gecko/20100101 Firefox/68.1
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3;) Gecko/20100101 Firefox/67.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_1; like Mac OS X) AppleWebKit/535.41 (KHTML, like Gecko)  Chrome/48.0.3707.343 Mobile Safari/602.5"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Win64; x64; en-US Trident/4.0)
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_8) Gecko/20100101 Firefox/73.4
windows,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/54.0.1609.141 Safari/537"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64; en-US) Gecko/20130401 Firefox/65.6
android,"Mozilla/5.0 (Android; Android 7.0; LG-H920 Build/NRD90M) AppleWebKit/536.49 (KHTML, like Gecko)  Chrome/49.0.2220.198 Mobile Safari/534.9"
android,"Mozilla/5.0 (Linux; Android 7.0; GT-I9800 Build/KTU84P) AppleWebKit/600.13 (KHTML, like Gecko)  Chrome/54.0.2827.301 Mobile Safari/603.9"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_2) Gecko/20100101 Firefox/69.3
chrome,"Mozilla/5.0 (Linux x86_64) AppleWebKit/603.4 (KHTML, like Gecko) Chrome/51.0.3122.267 Safari/537"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64) AppleWebKit/600.17 (KHTML, like Gecko) Chrome/52.0.2147.172 Safari/602.7 Edge/16.35548"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.0; x64 Trident/7.0)
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_3; en-US) AppleWebKit/537.44 (KHTML, like Gecko) Chrome/49.0.3759.286 Safari/536"
windows,Mozilla/5.0 (Windows NT 6.2;) Gecko/20100101 Firefox/46.8
firefox,Mozilla/5.0 (Linux i642 x86_64) Gecko/20100101 Firefox/58.1
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_3_8; en-US) Gecko/20130401 Firefox/74.5
linux,Mozilla/5.0 (Linux i574 ) Gecko/20100101 Firefox/74.7
firefox,Mozilla/5.0 (Windows; Windows NT 10.1;; en-US) Gecko/20100101 Firefox/67.6
android,"Mozilla/5.0 (Linux; Android 5.0.1; HTC [M8|M9|M8 Pro Build/LRX22G) AppleWebKit/601.29 (KHTML, like Gecko)  Chrome/50.0.1966.346 Mobile Safari/601.5"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_7_5; en-US) AppleWebKit/533.20 (KHTML, like Gecko) Chrome/55.0.3937.125 Safari/602"
chrome,"Mozilla/5.0 (U; Linux i581 ; en-US) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/55.0.3753.174 Safari/601"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; WOW64; en-US) AppleWebKit/600.47 (KHTML, like Gecko) Chrome/47.0.1278.217 Safari/537.2 Edge/14.41324"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.3; Win64; x64 Trident/5.0)
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/55.9
windows,"Mozilla/5.0 (Windows NT 6.3; Win64; x64; en-US) AppleWebKit/603.4 (KHTML, like Gecko) Chrome/52.0.3601.328 Safari/602.1 Edge/11.24878"
android,"Mozilla/5.0 (Android; Android 5.1.1; SM-G920H Build/LRX22G) AppleWebKit/534.1 (KHTML, like Gecko)  Chrome/49.0.2476.192 Mobile Safari/536.5"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.1; WOW64; en-US) AppleWebKit/537.20 (KHTML, like Gecko) Chrome/55.0.1647.329 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_2; like Mac OS X) AppleWebKit/602.41 (KHTML, like Gecko)  Chrome/51.0.3226.206 Mobile Safari/533.0"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2;; en-US Trident/4.0)
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.1;; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_0_9 like Mac OS X) AppleWebKit/602.14 (KHTML, like Gecko)  Chrome/47.0.2683.157 Mobile Safari/533.6"
mobile,"Mozilla/5.0 (Linux; U; Android 6.0.1; SM-G9350V Build/MDB08L) AppleWebKit/537.25 (KHTML, like Gecko)  Chrome/47.0.3761.232 Mobile Safari/535.4"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1;; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_9; like Mac OS X) AppleWebKit/602.39 (KHTML, like Gecko)  Chrome/53.0.3179.119 Mobile Safari/534.1"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_7_1; like Mac OS X) AppleWebKit/536.12 (KHTML, like Gecko)  Chrome/50.0.3142.242 Mobile Safari/533.1"
firefox,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/50.1
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3;) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/55.0.1876.286 Safari/534.6 Edge/16.57381"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_2_1; en-US) Gecko/20100101 Firefox/73.2
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_1; like Mac OS X) AppleWebKit/534.6 (KHTML, like Gecko)  Chrome/47.0.1922.371 Mobile Safari/536.8"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.0; x64) AppleWebKit/536.13 (KHTML, like Gecko) Chrome/54.0.1266.166 Safari/601.6 Edge/12.50284"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/54.0.1067.260 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_3; like Mac OS X) AppleWebKit/602.22 (KHTML, like Gecko)  Chrome/54.0.1487.390 Mobile Safari/536.8"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2;; en-US) AppleWebKit/534.12 (KHTML, like Gecko) Chrome/50.0.2512.312 Safari/601.9 Edge/13.18224"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_4_6; like Mac OS X) AppleWebKit/534.9 (KHTML, like Gecko)  Chrome/55.0.2729.222 Mobile Safari/533.4"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_7_0 like Mac OS X) AppleWebKit/533.30 (KHTML, like Gecko)  Chrome/55.0.2426.131 Mobile Safari/534.3"
edge,"Mozilla/5.0 (Windows NT 10.4; WOW64; en-US) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/47.0.2679.146 Safari/601.6 Edge/17.69701"
firefox,Mozilla/5.0 (Windows; Windows NT 6.1; x64; en-US) Gecko/20100101 Firefox/61.2
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; SAMSUNG SM-A700I Build/LMY47X) AppleWebKit/536.19 (KHTML, like Gecko)  Chrome/52.0.1415.320 Mobile Safari/533.6"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.0; x64; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; Android 7.0; Nexus 6X Build/NPD90G) AppleWebKit/535.36 (KHTML, like Gecko)  Chrome/48.0.1014.340 Mobile Safari/600.9"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64) AppleWebKit/536.13 (KHTML, like Gecko) Chrome/53.0.2525.219 Safari/600.3 Edge/11.81597"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 10.1; Win64; x64 Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.3;; en-US Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1_8; like Mac OS X) AppleWebKit/535.4 (KHTML, like Gecko)  Chrome/53.0.1011.310 Mobile Safari/536.1"
android,"Mozilla/5.0 (Android; Android 4.4.1; XT1050 Build/SU6-7.3) AppleWebKit/536.6 (KHTML, like Gecko)  Chrome/49.0.3975.219 Mobile Safari/537.3"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_0_8; en-US) Gecko/20100101 Firefox/57.2
android,"Mozilla/5.0 (Linux; Android 7.1; LG-H900 Build/NRD90M) AppleWebKit/600.14 (KHTML, like Gecko)  Chrome/54.0.2508.278 Mobile Safari/533.9"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; en-US Trident/4.0)
linux,Mozilla/5.0 (Linux i586 ; en-US) Gecko/20130401 Firefox/46.8
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.14 (KHTML, like Gecko)  Chrome/52.0.2676.167 Mobile Safari/537.8"
chrome,"Mozilla/5.0 (Linux; U; Linux i660 ) AppleWebKit/534.40 (KHTML, like Gecko) Chrome/53.0.2427.350 Safari/603"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.3; WOW64; en-US) AppleWebKit/600.13 (KHTML, like Gecko) Chrome/53.0.1297.352 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_5; like Mac OS X) AppleWebKit/536.24 (KHTML, like Gecko)  Chrome/52.0.3727.170 Mobile Safari/536.2"
linux,"Mozilla/5.0 (Linux i662 x86_64) AppleWebKit/600.38 (KHTML, like Gecko) Chrome/54.0.3181.247 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4; like Mac OS X) AppleWebKit/602.13 (KHTML, like Gecko)  Chrome/51.0.2511.260 Mobile Safari/536.7"
android,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G93508 Build/MMB29M) AppleWebKit/537.13 (KHTML, like Gecko)  Chrome/49.0.1638.385 Mobile Safari/535.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_7; like Mac OS X) AppleWebKit/533.11 (KHTML, like Gecko)  Chrome/51.0.3865.374 Mobile Safari/603.6"
android,"Mozilla/5.0 (Android; Android 5.1; SM-G935T Build/MMB29M) AppleWebKit/536.22 (KHTML, like Gecko)  Chrome/51.0.3695.101 Mobile Safari/603.7"
chrome,"Mozilla/5.0 (Linux; Linux i570 ) AppleWebKit/602.25 (KHTML, like Gecko) Chrome/47.0.2962.399 Safari/535"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_2_8; en-US) Gecko/20100101 Firefox/58.8
edge,"Mozilla/5.0 (Windows NT 10.2; x64) AppleWebKit/536.16 (KHTML, like Gecko) Chrome/47.0.3168.188 Safari/536.5 Edge/10.67639"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_5; like Mac OS X) AppleWebKit/537.39 (KHTML, like Gecko)  Chrome/47.0.1394.381 Mobile Safari/600.8"
firefox,Mozilla/5.0 (Windows NT 10.3; WOW64) Gecko/20100101 Firefox/72.9
linux,Mozilla/5.0 (Linux; Linux i684 ; en-US) Gecko/20100101 Firefox/52.0
linux,Mozilla/5.0 (Linux; U; Linux i660 x86_64) Gecko/20130401 Firefox/62.5
mobile,"Mozilla/5.0 (Android; Android 4.4; SM-J110F Build/KTU84P) AppleWebKit/602.14 (KHTML, like Gecko)  Chrome/47.0.1921.147 Mobile Safari/535.8"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.3;; en-US Trident/4.0)
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/48.0.3078.224 Safari/534"
windows,Mozilla/5.0 (Windows NT 6.2; WOW64) Gecko/20130401 Firefox/61.6
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_6_0) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/48.0.1178.305 Safari/535"
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; Nexus 8 Build/LRX22C) AppleWebKit/602.41 (KHTML, like Gecko)  Chrome/51.0.1245.393 Mobile Safari/601.3"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_6; en-US) AppleWebKit/533.14 (KHTML, like Gecko) Chrome/49.0.2476.326 Safari/602"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.1; x64 Trident/6.0)
linux,"Mozilla/5.0 (U; Linux i561 x86_64; en-US) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/47.0.2202.100 Safari/536"
linux,Mozilla/5.0 (Linux; Linux i550 x86_64; en-US) Gecko/20100101 Firefox/60.2
edge,"Mozilla/5.0 (Windows NT 10.0;; en-US) AppleWebKit/601.15 (KHTML, like Gecko) Chrome/50.0.2845.221 Safari/602.0 Edge/9.87955"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_7; like Mac OS X) AppleWebKit/537.10 (KHTML, like Gecko)  Chrome/53.0.1468.323 Mobile Safari/536.5"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; LG-H910 Build/NRD90C) AppleWebKit/600.3 (KHTML, like Gecko)  Chrome/49.0.3257.342 Mobile Safari/533.7"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1; WOW64; en-US Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_5; like Mac OS X) AppleWebKit/533.18 (KHTML, like Gecko)  Chrome/51.0.3460.304 Mobile Safari/602.7"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; en-US) AppleWebKit/601.4 (KHTML, like Gecko) Chrome/52.0.2107.229 Safari/536"
mobile,"Mozilla/5.0 (Linux; U; Android 5.0; SM-G817T1 Build/LMY47X) AppleWebKit/534.35 (KHTML, like Gecko)  Chrome/53.0.2046.334 Mobile Safari/533.6"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/536.50 (KHTML, like Gecko) Chrome/48.0.3970.153 Safari/537"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_4; en-US) AppleWebKit/600.29 (KHTML, like Gecko) Chrome/47.0.2472.101 Safari/600"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_4; en-US) Gecko/20100101 Firefox/63.6
linux,Mozilla/5.0 (U; Linux i545 ) Gecko/20100101 Firefox/55.7
chrome,"Mozilla/5.0 (Windows; Windows NT 10.3; x64; en-US) AppleWebKit/535.20 (KHTML, like Gecko) Chrome/52.0.2417.279 Safari/535"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; x64 Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_8; like Mac OS X) AppleWebKit/535.35 (KHTML, like Gecko)  Chrome/52.0.3653.333 Mobile Safari/600.7"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_3) Gecko/20100101 Firefox/66.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_6_1; like Mac OS X) AppleWebKit/602.40 (KHTML, like Gecko)  Chrome/47.0.1806.293 Mobile Safari/601.2"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_1; en-US) Gecko/20130401 Firefox/50.5
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; WOW64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/52.0.2585.241 Safari/536.1 Edge/12.29112"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.2; x64; en-US Trident/7.0)
mobile,"Mozilla/5.0 (Android; Android 4.3.1; HTC Xplorer A340e Build/GRJ90) AppleWebKit/534.21 (KHTML, like Gecko)  Chrome/51.0.3746.294 Mobile Safari/601.2"
chrome,"Mozilla/5.0 (Windows NT 6.3; Win64; x64; en-US) AppleWebKit/534.29 (KHTML, like Gecko) Chrome/51.0.1651.204 Safari/603"
chrome,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/603.43 (KHTML, like Gecko) Chrome/52.0.3979.290 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_4; like Mac OS X) AppleWebKit/603.15 (KHTML, like Gecko)  Chrome/52.0.3957.163 Mobile Safari/535.3"
android,"Mozilla/5.0 (Linux; Android 5.0.2; SAMSUNG SM-G450 Build/LRX22G) AppleWebKit/536.5 (KHTML, like Gecko)  Chrome/52.0.2980.256 Mobile Safari/602.6"
firefox,Mozilla/5.0 (Linux i653 x86_64; en-US) Gecko/20130401 Firefox/71.6
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 10.3; Win64; x64 Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 5.1; SM-G920F-ORANGE Build/LRX22G) AppleWebKit/534.19 (KHTML, like Gecko)  Chrome/51.0.2240.262 Mobile Safari/603.5"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_8; like Mac OS X) AppleWebKit/533.40 (KHTML, like Gecko)  Chrome/51.0.1950.107 Mobile Safari/603.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_2; like Mac OS X) AppleWebKit/536.30 (KHTML, like Gecko)  Chrome/49.0.1110.294 Mobile Safari/602.4"
chrome,"Mozilla/5.0 (Windows NT 10.3;; en-US) AppleWebKit/603.25 (KHTML, like Gecko) Chrome/49.0.1896.190 Safari/533"
edge,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; en-US) AppleWebKit/534.40 (KHTML, like Gecko) Chrome/53.0.1850.134 Safari/537.3 Edge/9.62707"
chrome,"Mozilla/5.0 (U; Linux i644 ; en-US) AppleWebKit/533.42 (KHTML, like Gecko) Chrome/48.0.2701.184 Safari/537"
chrome,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/534.19 (KHTML, like Gecko) Chrome/47.0.2783.106 Safari/600"
chrome,"Mozilla/5.0 (U; Linux i644 x86_64) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/53.0.1691.394 Safari/603"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64) AppleWebKit/601.18 (KHTML, like Gecko) Chrome/52.0.1901.232 Safari/537.6 Edge/12.47773"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/600.5 (KHTML, like Gecko) Chrome/55.0.2569.135 Safari/601"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/50.0.3284.338 Safari/533.6 Edge/8.64718"
